c,y
1.0,0.0
-3.0,0.008849557522123894
-7.0,0.017699115044247787
-7.0,0.02654867256637168
-7.0,0.035398230088495575
-7.0,0.04424778761061947
-7.0,0.05309734513274336
-7.0,0.061946902654867256
-8.0,0.07079646017699115
-8.0,0.07964601769911504
-8.0,0.08849557522123894
-9.0,0.09734513274336283
-9.0,0.10619469026548672
-9.0,0.11504424778761062
-9.0,0.12389380530973451
-15.0,0.1327433628318584
-15.0,0.1415929203539823
-15.0,0.1504424778761062
-16.0,0.1592920353982301
-17.0,0.16814159292035397
-18.0,0.17699115044247787
-18.0,0.18584070796460178
-18.0,0.19469026548672566
-18.0,0.20353982300884954
-18.0,0.21238938053097345
-18.0,0.22123893805309736
-18.0,0.23008849557522124
-18.0,0.23893805309734512
-18.0,0.24778761061946902
-19.0,0.25663716814159293
-19.0,0.2654867256637168
-19.0,0.2743362831858407
-27.0,0.2831858407079646
-30.0,0.2920353982300885
-31.0,0.3008849557522124
-33.0,0.30973451327433627
-36.0,0.3185840707964602
-37.0,0.3274336283185841
-37.0,0.33628318584070793
-37.0,0.34513274336283184
-37.0,0.35398230088495575
-37.0,0.36283185840707965
-37.0,0.37168141592920356
-37.0,0.3805309734513274
-39.0,0.3893805309734513
-43.0,0.39823008849557523
-44.0,0.4070796460176991
-44.0,0.415929203539823
-44.0,0.4247787610619469
-46.0,0.4336283185840708
-46.0,0.4424778761061947
-46.0,0.45132743362831856
-46.0,0.46017699115044247
-46.0,0.4690265486725664
-46.0,0.47787610619469023
-70.0,0.48672566371681414
-70.0,0.49557522123893805
-70.0,0.504424778761062
-74.0,0.5132743362831859
-81.0,0.5221238938053098
-88.0,0.5309734513274336
-92.0,0.5398230088495575
-94.0,0.5486725663716814
-94.0,0.5575221238938053
-94.0,0.5663716814159292
-94.0,0.5752212389380531
-94.0,0.584070796460177
-94.0,0.5929203539823009
-94.0,0.6017699115044248
-94.0,0.6106194690265486
-94.0,0.6194690265486725
-94.0,0.6283185840707964
-94.0,0.6371681415929203
-94.0,0.6460176991150443
-94.0,0.6548672566371682
-94.0,0.6637168141592921
-94.0,0.6725663716814159
-94.0,0.6814159292035398
-173.0,0.6902654867256637
-179.0,0.6991150442477876
-179.0,0.7079646017699115
-185.0,0.7168141592920354
-192.0,0.7256637168141593
-192.0,0.7345132743362832
-192.0,0.7433628318584071
-192.0,0.7522123893805309
-192.0,0.7610619469026548
-192.0,0.7699115044247787
-192.0,0.7787610619469026
-192.0,0.7876106194690266
-192.0,0.7964601769911505
-216.0,0.8053097345132744
-216.0,0.8141592920353982
-330.0,0.8230088495575221
-330.0,0.831858407079646
-338.0,0.8407079646017699
-338.0,0.8495575221238938
-338.0,0.8584070796460177
-358.0,0.8672566371681416
-404.0,0.8761061946902655
-446.0,0.8849557522123894
-446.0,0.8938053097345132
-446.0,0.9026548672566371
-446.0,0.911504424778761
-446.0,0.9203539823008849
-446.0,0.9292035398230089
-446.0,0.9380530973451328
-446.0,0.9469026548672567
-446.0,0.9557522123893805
-446.0,0.9646017699115044
-710.0,0.9734513274336283
-853.0,0.9823008849557522
-853.0,0.9911504424778761
-853.0,1.0
