noise,opt_q1,opt_med,opt_q3,acc_q1,acc_med,acc_q3,time_q1,time_med,time_q3
0,1.0,1.0,1.0,1.0,1.0,1.0,0.016,0.018,0.019
1,0.434,0.82069,1.0,0.866,0.924,0.931,0.117,0.688,15.918
2,0.0666667,0.193,0.49,0.7,0.895,0.915,9.411,49.819,69.432
3,0.0,0.002,0.205,0.727,1.0,1.0,41.072,73.583,90.529
4,0.0,0.0,0.002,0.822,1.0,1.0,75.732,86.561,93.31
