c,y
-710.0,0.0
-351.0,0.00012236906510034264
-185.0,0.0002447381302006853
-185.0,0.00036710719530102793
-164.0,0.0004894762604013706
-94.0,0.0006118453255017132
-94.0,0.0007342143906020559
-94.0,0.0008565834557023985
-92.0,0.0009789525208027412
-83.0,0.0011013215859030838
-46.0,0.0012236906510034264
-46.0,0.001346059716103769
-46.0,0.0014684287812041117
-46.0,0.0015907978463044544
-46.0,0.001713166911404797
-46.0,0.0018355359765051397
-35.0,0.0019579050416054823
-15.0,0.0020802741067058247
-15.0,0.0022026431718061676
-8.0,0.0023250122369065105
-8.0,0.002447381302006853
-7.0,0.0025697503671071953
-7.0,0.002692119432207538
-7.0,0.002814488497307881
-7.0,0.0029368575624082235
-6.0,0.003059226627508566
-6.0,0.0031815956926089088
-3.0,0.0033039647577092516
-3.0,0.003426333822809594
-3.0,0.0035487028879099365
-3.0,0.0036710719530102793
-3.0,0.003793441018110622
-3.0,0.003915810083210965
-3.0,0.004038179148311307
-3.0,0.0041605482134116495
1.0,0.004894762604013706
1.0,0.006118453255017132
1.0,0.007342143906020559
1.0,0.008565834557023986
1.0,0.009789525208027412
1.0,0.011013215859030838
1.0,0.012236906510034264
1.0,0.013460597161037691
1.0,0.014684287812041117
1.0,0.015907978463044543
1.0,0.01713166911404797
1.0,0.018355359765051395
1.0,0.019579050416054823
1.0,0.02080274106705825
1.0,0.022026431718061675
1.0,0.023250122369065103
1.0,0.024473813020068527
1.0,0.025697503671071955
1.0,0.026921194322075383
1.0,0.028144884973078807
1.0,0.029368575624082235
1.0,0.030592266275085662
1.0,0.03181595692608909
1.0,0.03303964757709251
1.0,0.03426333822809594
1.0,0.03548702887909937
1.0,0.03671071953010279
1.0,0.03793441018110622
1.0,0.039158100832109646
1.0,0.04038179148311307
1.0,0.0416054821341165
2.0,0.042829172785119926
2.0,0.04405286343612335
2.0,0.04527655408712678
2.0,0.046500244738130206
2.0,0.04772393538913363
2.0,0.048947626040137054
2.0,0.050171316691140486
2.0,0.05139500734214391
2.0,0.052618697993147334
2.0,0.053842388644150765
2.0,0.05506607929515419
2.0,0.056289769946157614
2.0,0.057513460597161045
2.0,0.05873715124816447
2.0,0.059960841899167894
2.0,0.061184532550171325
2.0,0.06240822320117475
2.0,0.06363191385217817
2.0,0.0648556045031816
2.0,0.06607929515418502
2.0,0.06730298580518845
2.0,0.06852667645619188
2.0,0.0697503671071953
2.0,0.07097405775819873
2.0,0.07219774840920216
2.0,0.07342143906020558
2.0,0.07464512971120901
2.0,0.07586882036221244
2.0,0.07709251101321586
2.0,0.07831620166421929
2.0,0.07953989231522272
2.0,0.08076358296622614
2.0,0.08198727361722957
2.0,0.083210964268233
2.0,0.08443465491923642
2.0,0.08565834557023985
2.0,0.08688203622124328
3.0,0.0881057268722467
3.0,0.08932941752325013
3.0,0.09055310817425356
3.0,0.09177679882525698
3.0,0.09300048947626041
3.0,0.09422418012726384
3.0,0.09544787077826726
3.0,0.09667156142927069
3.0,0.09789525208027411
3.0,0.09911894273127754
3.0,0.10034263338228097
3.0,0.10156632403328439
3.0,0.10279001468428782
3.0,0.10401370533529125
3.0,0.10523739598629467
3.0,0.1064610866372981
3.0,0.10768477728830153
3.0,0.10890846793930495
3.0,0.11013215859030838
3.0,0.11135584924131181
3.0,0.11257953989231523
3.0,0.11380323054331866
3.0,0.11502692119432209
3.0,0.11625061184532551
3.0,0.11747430249632894
3.0,0.11869799314733237
3.0,0.11992168379833579
3.0,0.12114537444933922
3.0,0.12236906510034265
4.0,0.12359275575134607
4.0,0.1248164464023495
4.0,0.12604013705335293
4.0,0.12726382770435635
4.0,0.12848751835535976
4.0,0.1297112090063632
4.0,0.13093489965736663
4.0,0.13215859030837004
4.0,0.1333822809593735
4.0,0.1346059716103769
4.0,0.13582966226138032
4.0,0.13705335291238377
4.0,0.1382770435633872
4.0,0.1395007342143906
4.0,0.14072442486539405
4.0,0.14194811551639747
4.0,0.14317180616740088
4.0,0.14439549681840433
4.0,0.14561918746940775
4.0,0.14684287812041116
4.0,0.1480665687714146
4.0,0.14929025942241803
4.0,0.15051395007342144
4.0,0.1517376407244249
4.0,0.1529613313754283
4.0,0.15418502202643172
4.0,0.15540871267743517
4.0,0.15663240332843859
4.0,0.157856093979442
4.0,0.15907978463044545
5.0,0.16030347528144887
5.0,0.16152716593245228
5.0,0.16275085658345573
5.0,0.16397454723445914
5.0,0.16519823788546256
5.0,0.166421928536466
5.0,0.16764561918746942
5.0,0.16886930983847284
5.0,0.1700930004894763
5.0,0.1713166911404797
5.0,0.17254038179148312
5.0,0.17376407244248657
5.0,0.17498776309348998
5.0,0.1762114537444934
5.0,0.17743514439549685
5.0,0.17865883504650026
5.0,0.17988252569750368
5.0,0.18110621634850713
5.0,0.18232990699951054
5.0,0.18355359765051396
5.0,0.1847772883015174
5.0,0.18600097895252082
5.0,0.18722466960352424
5.0,0.18844836025452769
5.0,0.1896720509055311
5.0,0.19089574155653452
5.0,0.19211943220753797
5.0,0.19334312285854138
5.0,0.1945668135095448
5.0,0.19579050416054822
6.0,0.19701419481155166
6.0,0.19823788546255508
6.0,0.1994615761135585
6.0,0.20068526676456194
6.0,0.20190895741556536
6.0,0.20313264806656878
6.0,0.20435633871757222
6.0,0.20558002936857564
6.0,0.20680372001957906
6.0,0.2080274106705825
6.0,0.20925110132158592
6.0,0.21047479197258934
6.0,0.21169848262359278
6.0,0.2129221732745962
6.0,0.21414586392559962
6.0,0.21536955457660306
6.0,0.21659324522760648
6.0,0.2178169358786099
6.0,0.21904062652961334
6.0,0.22026431718061676
6.0,0.22148800783162018
6.0,0.22271169848262362
6.0,0.22393538913362704
6.0,0.22515907978463046
6.0,0.2263827704356339
6.0,0.22760646108663732
6.0,0.22883015173764074
6.0,0.23005384238864418
6.0,0.2312775330396476
6.0,0.23250122369065102
6.0,0.23372491434165446
6.0,0.23494860499265788
6.0,0.2361722956436613
6.0,0.23739598629466474
7.0,0.23861967694566816
7.0,0.23984336759667158
7.0,0.24106705824767502
7.0,0.24229074889867844
7.0,0.24351443954968185
7.0,0.2447381302006853
7.0,0.24596182085168872
7.0,0.24718551150269213
7.0,0.24840920215369558
7.0,0.249632892804699
7.0,0.25085658345570244
7.0,0.25208027410670586
7.0,0.2533039647577093
7.0,0.2545276554087127
7.0,0.2557513460597161
7.0,0.25697503671071953
7.0,0.258198727361723
7.0,0.2594224180127264
7.0,0.26064610866372984
7.0,0.26186979931473325
7.0,0.26309348996573667
7.0,0.2643171806167401
7.0,0.26554087126774356
7.0,0.266764561918747
7.0,0.2679882525697504
7.0,0.2692119432207538
