noise,opt_q1,opt_med,opt_q3,acc_q1,acc_med,acc_q3,time_q1,time_med,time_q3
0,1.0,1.0,1.0,0.8,0.9,1.0,0.004,0.005,0.005
1,0.995,1.0,1.0,0.814,0.867,0.91,0.004,0.014,0.121
2,0.271,0.614286,1.0,0.782,0.838,0.944,0.009,0.126,3.58
3,0.0952381,0.352,0.786,0.7,0.776,0.933,0.172,3.103,7.727
4,0.095,0.1,0.652,0.7,0.714,0.842,0.278,5.274,8.195
5,0.005,0.095,0.233,0.683,0.7,1.0,2.31,7.887,9.224
